"chr","start","end","gene","peakWidth"
"chr3",15451594,15452094,"COLQ",500
"chr15",89577827,89578327,"TICRR",500
"chr1",157994164,157994664,"KIRREL1",500
"chr2",205682595,205683095,"NRP2",500
"chr5",168659139,168659639,"SLIT3",500
"chr3",129973852,129974352,"TRH",500
"chr7",101364327,101364827,"COL26A1",500
"chr5",83638813,83639313,"HAPLN1",500
"chr9",114332746,114333246,"AKNA",500
"chr5",34655280,34655780,"RAI14",500
"chr18",10454536,10455036,"APCDD1",500
"chr6",107066010,107066510,"BEND3",500
"chr6",85448635,85449135,"NT5E",500
"chr5",168659278,168659778,"SLIT3",500
"chr6",34239563,34240063,"HMGA1",500
"chr16",1154153,1154653,"CACNA1H",500
"chr9",128457843,128458343,"ODF2",500
"chr9",115019348,115019848,"TNC",500
"chr15",66700839,66701339,"SMAD6",500
"chr2",11481837,11482337,"GREB1",500
"chr7",33905844,33906344,"BMPER",500
"chr9",136493798,136494298,"NOTCH1",500
"chr16",56729055,56729555,"NUP93",500
"chr3",13316920,13317420,"NUP210",500
"chr1",40978003,40978503,"CTPS1",500
"chr18",318055,318555,"COLEC12",500
"chr9",136491596,136492096,"NOTCH1",500
"chr1",47214159,47214659,"TAL1",500
"chr1",28506125,28506625,"RCC1",500
"chr15",65530039,65530539,"HACD3",500
"chr9",86026982,86027482,"GOLM1",500
"chr9",36036858,36037358,"RECK",500
"chr10",22534540,22535040,"PIP4K2A",500
"chr6",142301696,142302196,"ADGRG6",500
"chr7",41961327,41961827,"GLI3",500
"chr6",1609693,1610193,"FOXC1",500
"chr1",157992786,157993286,"KIRREL1",500
"chr15",88621762,88622262,"AEN",500
"chr5",83635390,83635890,"HAPLN1",500
"chr1",149929258,149929758,"MTMR11",500
"chr9",113877183,113877683,"ZNF618",500
"chr15",41559938,41560438,"TYRO3",500
"chr20",32193700,32194200,"PLAGL2",500
"chr6",43078764,43079264,"PTK7",500
"chr6",20400928,20401428,"E2F3",500
"chr15",66704198,66704698,"SMAD6",500
"chr19",8065887,8066387,"FBN3",500
"chr9",87499643,87500143,"DAPK1",500
"chr17",62965790,62966290,"TANC2",500
"chr6",85452558,85453058,"NT5E",500
"chr16",56729483,56729983,"NUP93",500
"chr5",122314059,122314559,"SNCAIP",500
"chr16",28257757,28258257,"SBK1",500
"chr7",75533698,75534198,"HIP1",500
"chr6",107062758,107063258,"BEND3",500
"chr6",34238743,34239243,"HMGA1",500
"chr15",75464303,75464803,"PTPN9",500
"chr3",10029248,10029748,"FANCD2",500
"chr14",69855592,69856092,"SMOC1",500
"chr15",65529401,65529901,"HACD3",500
"chr21",45403876,45404376,"COL18A1",500
"chr9",78299801,78300301,"PSAT1",500
"chr18",44682240,44682740,"SETBP1",500
"chr20",62817629,62818129,"COL9A3",500
"chr2",215361290,215361790,"FN1",500
"chr3",196934120,196934620,"NCBP2",500
"chr9",129885121,129885621,"FNBP1",500
"chr18",72537852,72538352,"CBLN2",500
"chr17",42755118,42755618,"RAMP2-AS1",500
"chr9",128453917,128454417,"ODF2",500
"chr9",129885290,129885790,"FNBP1",500
"chr3",129977380,129977880,"TRH",500
"chr7",69600565,69601065,"AUTS2",500
"chr14",70643571,70644071,"TTC9",500
"chr17",50561001,50561501,"CACNA1G",500
"chr9",129888347,129888847,"FNBP1",500
"chr16",23836108,23836608,"PRKCB",500
"chr13",26560004,26560504,"WASF3",500
"chr17",44922976,44923476,"KIF18B",500
"chr12",44508003,44508503,"NELL2",500
"chr3",196936532,196937032,"NCBP2",500
"chr1",29237776,29238276,"PTPRU",500
"chr6",25278010,25278510,"CARMIL1",500
"chr5",150295869,150296369,"ARSI",500
"chr21",43661808,43662308,"RRP1B",500
"chr2",1631185,1631685,"PXDN",500
"chr19",29813757,29814257,"CCNE1",500
"chr2",205681861,205682361,"NRP2",500
"chr21",45492632,45493132,"SLC19A1",500
"chr1",160115700,160116200,"ATP1A2",500
"chr1",29237695,29238195,"PTPRU",500
"chrX",2830604,2831104,"GYG2",500
"chr12",47971651,47972151,"COL2A1",500
"chr5",83636026,83636526,"HAPLN1",500
"chr3",186047034,186047534,"ETV5",500
"chr15",101175880,101176380,"CHSY1",500
"chr1",28506568,28507068,"RCC1",500
"chr3",101828190,101828690,"NFKBIZ",500
"chr11",35944758,35945258,"LDLRAD3",500
"chr4",108046752,108047252,"LEF1",500
"chr5",147389260,147389760,"DPYSL3",500
"chr1",43992647,43993147,"SLC6A9",500
"chr20",62818209,62818709,"COL9A3",500
"chr10",119726967,119727467,"INPP5F",500
"chr3",185643627,185644127,"IGF2BP2",500
"chr1",156720246,156720746,"ISG20L2",500
"chr1",89179375,89179875,"GBP4",500
"chr14",70643598,70644098,"TTC9",500
"chr13",38688290,38688790,"FREM2",500
"chr21",45492897,45493397,"SLC19A1",500
"chr15",41560026,41560526,"TYRO3",500
"chr17",73332227,73332727,"SDK2",500
"chr16",1152810,1153310,"CACNA1H",500
"chr1",160400164,160400664,"VANGL2",500
"chr10",13161344,13161844,"MCM10",500
"chr17",79776700,79777200,"CBX2",500
"chr9",113222198,113222698,"SLC31A1",500
"chr7",33906273,33906773,"BMPER",500
"chr3",15447362,15447862,"COLQ",500
"chr2",1632181,1632681,"PXDN",500
"chr2",96337975,96338475,"NCAPH",500
"chr3",133930319,133930819,"SLCO2A1",500
"chr4",2058195,2058695,"NAT8L",500
"chr20",62816292,62816792,"COL9A3",500
"chr11",125164982,125165482,"PKNOX2",500
"chr9",91561653,91562153,"ROR2",500
"chr3",133930813,133931313,"SLCO2A1",500
"chr17",44924850,44925350,"KIF18B",500
"chr2",11485013,11485513,"GREB1",500
"chr17",50562792,50563292,"CACNA1G",500
"chr6",107063606,107064106,"BEND3",500
"chr19",36714570,36715070,"ZNF850",500
"chr6",107064536,107065036,"BEND3",500
"chr4",108044748,108045248,"LEF1",500
"chr5",150297057,150297557,"ARSI",500
"chr6",82363640,82364140,"TPBG",500
"chr10",89428832,89429332,"SLC16A12",500
"chr9",113222574,113223074,"SLC31A1",500
"chr2",1630759,1631259,"PXDN",500
"chr5",32688234,32688734,"NPR3",500
"chr2",215358471,215358971,"FN1",500
"chr1",64469314,64469814,"CACHD1",500
"chr1",46249002,46249502,"RAD54L",500
"chr1",89182301,89182801,"GBP4",500
"chr17",50107240,50107740,"SAMD14",500
"chr20",62815174,62815674,"COL9A3",500
"chr16",46688869,46689369,"ORC6",500
"chr6",85448463,85448963,"NT5E",500
"chr2",96337826,96338326,"NCAPH",500
"chrX",71254005,71254505,"NONO",500
"chr6",25278568,25279068,"CARMIL1",500
"chr10",69800721,69801221,"COL13A1",500
"chr6",82363897,82364397,"TPBG",500
"chr13",39008363,39008863,"PROSER1",500
"chr5",147388009,147388509,"DPYSL3",500
"chr2",218713168,218713668,"TTLL4",500
"chr2",1631508,1632008,"PXDN",500
"chr17",41813495,41813995,"FKBP10",500
"chr3",196936880,196937380,"NCBP2",500
"chr17",62966327,62966827,"TANC2",500
"chr1",160116393,160116893,"ATP1A2",500
"chr12",44508475,44508975,"NELL2",500
"chr11",69642689,69643189,"CCND1",500
"chr1",167721984,167722484,"MPZL1",500
"chr22",27851117,27851617,"PITPNB",500
"chr8",103154021,103154521,"BAALC-AS1",500
"chr11",69640543,69641043,"CCND1",500
"chr2",205683526,205684026,"NRP2",500
"chr7",69600586,69601086,"AUTS2",500
"chr1",46247876,46248376,"RAD54L",500
"chr16",64941706,64942206,"CDH11",500
"chrX",9789281,9789781,"SHROOM2",500
"chr14",69855056,69855556,"SMOC1",500
"chr7",150991811,150992311,"NOS3",500
"chr7",69600980,69601480,"AUTS2",500
"chr17",44922622,44923122,"KIF18B",500
"chr17",73332853,73333353,"SDK2",500
"chr10",100347599,100348099,"SCD",500
"chr19",29813725,29814225,"CCNE1",500
"chr19",4902481,4902981,"UHRF1",500
"chr3",10024932,10025432,"FANCD2",500
"chr1",160400174,160400674,"VANGL2",500
"chr4",2060053,2060553,"NAT8L",500
"chr11",35946098,35946598,"LDLRAD3",500
"chr1",149902290,149902790,"SV2A",500
"chr21",31119244,31119744,"TIAM1",500
"chr1",53242789,53243289,"LRP8",500
"chr6",82365856,82366356,"TPBG",500
"chr1",149901357,149901857,"SV2A",500
"chrX",132025896,132026396,"STK26",500
"chr3",152834906,152835406,"P2RY1",500
"chr2",218712309,218712809,"TTLL4",500
"chr2",205682442,205682942,"NRP2",500
"chr5",76715844,76716344,"F2R",500
"chr3",184563102,184563602,"EPHB3",500
"chr11",61752126,61752626,"MYRF",500
"chr5",122313851,122314351,"SNCAIP",500
"chr2",25227620,25228120,"DNMT3A",500
"chr9",115018791,115019291,"TNC",500
"chr3",48156414,48156914,"CDC25A",500
"chr5",147389884,147390384,"DPYSL3",500
"chr16",1155562,1156062,"CACNA1H",500
"chr8",27633423,27633923,"SCARA3",500
"chr20",62818811,62819311,"COL9A3",500
"chr15",89576930,89577430,"TICRR",500
"chr3",15448916,15449416,"COLQ",500
"chr3",13314363,13314863,"NUP210",500
"chr12",47972817,47973317,"COL2A1",500
"chr16",51133078,51133578,"SALL1",500
"chr17",49000148,49000648,"IGF2BP1",500
"chr19",8065733,8066233,"FBN3",500
"chr16",23836177,23836677,"PRKCB",500
"chrX",9787791,9788291,"SHROOM2",500
"chr16",56731306,56731806,"NUP93",500
"chr1",21596514,21597014,"RAP1GAP",500
"chr17",62968211,62968711,"TANC2",500
"chr6",20403060,20403560,"E2F3",500
"chr12",47971989,47972489,"COL2A1",500
"chr3",186045890,186046390,"ETV5",500
"chr17",41811237,41811737,"FKBP10",500
"chr12",47971906,47972406,"COL2A1",500
"chr6",34236528,34237028,"HMGA1",500
"chr7",150989734,150990234,"NOS3",500
"chr12",47974330,47974830,"COL2A1",500
"chr1",206507677,206508177,"RASSF5",500
"chr18",10457399,10457899,"APCDD1",500
"chr17",50108981,50109481,"SAMD14",500
"chr10",100348310,100348810,"SCD",500
"chr11",35943121,35943621,"LDLRAD3",500
"chr22",21420167,21420667,"HIC2",500
"chr6",20401978,20402478,"E2F3",500
"chr10",119728174,119728674,"INPP5F",500
"chr16",28261619,28262119,"SBK1",500
"chrX",71254370,71254870,"NONO",500
"chr9",128454303,128454803,"ODF2",500
"chr6",47232757,47233257,"TNFRSF21",500
"chr10",121476790,121477290,"FGFR2",500
"chr3",109324953,109325453,"DPPA4",500
"chr6",107063386,107063886,"BEND3",500
"chr19",39411753,39412253,"PLEKHG2",500
"chr16",23838955,23839455,"PRKCB",500
"chr1",149901224,149901724,"SV2A",500
"chr3",10029249,10029749,"FANCD2",500
"chr3",48156804,48157304,"CDC25A",500
"chr6",25280030,25280530,"CARMIL1",500
"chr17",41811806,41812306,"FKBP10",500
"chr11",35946907,35947407,"LDLRAD3",500
"chr1",53242586,53243086,"LRP8",500
"chr11",69641910,69642410,"CCND1",500
"chrX",15463881,15464381,"BMX",500
"chr1",64470438,64470938,"CACHD1",500
"chr3",196935305,196935805,"NCBP2",500
"chr17",41815149,41815649,"FKBP10",500
"chr10",69804499,69804999,"COL13A1",500
"chr6",47231289,47231789,"TNFRSF21",500
"chr1",29235131,29235631,"PTPRU",500
"chr9",113875020,113875520,"ZNF618",500
"chr6",25280828,25281328,"CARMIL1",500
"chr16",56728674,56729174,"NUP93",500
"chr17",42827268,42827768,"PSME3",500
"chr17",50562153,50562653,"CACNA1G",500
"chr1",52684810,52685310,"COA7",500
"chr8",125431549,125432049,"TRIB1",500
"chr9",113878700,113879200,"ZNF618",500
"chr21",45493141,45493641,"SLC19A1",500
"chr10",123703225,123703725,"CPXM2",500
"chr14",76760741,76761241,"VASH1",500
"chr9",136799005,136799505,"CCDC183",500
"chrX",2827352,2827852,"GYG2",500
"chr1",43990534,43991034,"SLC6A9",500
"chr5",76716452,76716952,"F2R",500
"chr3",13316680,13317180,"NUP210",500
"chr3",185641623,185642123,"IGF2BP2",500
"chr3",185642716,185643216,"IGF2BP2",500
"chr6",89097031,89097531,"SRSF12",500
"chr16",46689946,46690446,"ORC6",500
"chr20",62818718,62819218,"COL9A3",500
"chr7",150992367,150992867,"NOS3",500
"chr6",25281851,25282351,"CARMIL1",500
"chr18",313835,314335,"COLEC12",500
"chr10",13161462,13161962,"MCM10",500
"chr11",125627604,125628104,"CHEK1",500
"chr5",172326399,172326899,"SH3PXD2B",500
"chr6",25279345,25279845,"CARMIL1",500
"chr14",24398662,24399162,"NYNRIN",500
"chr6",142303624,142304124,"ADGRG6",500
"chr10",22535601,22536101,"PIP4K2A",500
"chr7",2634071,2634571,"TTYH3",500
"chr15",41556586,41557086,"TYRO3",500
"chr2",96337977,96338477,"NCAPH",500
"chr5",76614453,76614953,"F2RL2",500
"chr6",107065935,107066435,"BEND3",500
"chr6",25278239,25278739,"CARMIL1",500
"chr1",21594523,21595023,"RAP1GAP",500
"chr7",105439414,105439914,"PUS7",500
"chr3",152837561,152838061,"P2RY1",500
"chr17",42825725,42826225,"PSME3",500
"chr10",22532085,22532585,"PIP4K2A",500
"chr1",40978337,40978837,"CTPS1",500
"chr4",108045497,108045997,"LEF1",500
"chr15",65532932,65533432,"HACD3",500
"chrX",15463357,15463857,"BMX",500
"chr15",65533117,65533617,"HACD3",500
"chr15",89574514,89575014,"TICRR",500
"chr7",2630865,2631365,"TTYH3",500
"chr3",139934387,139934887,"CLSTN2",500
"chr15",88623015,88623515,"AEN",500
"chrX",2830455,2830955,"GYG2",500
"chr1",157991949,157992449,"KIRREL1",500
"chr17",42753436,42753936,"RAMP2-AS1",500
"chr16",23838566,23839066,"PRKCB",500
"chr1",168080211,168080711,"GPR161",500
"chr16",56729015,56729515,"NUP93",500
"chr12",74540612,74541112,"ATXN7L3B",500
"chr19",36712566,36713066,"ZNF850",500
"chr1",38993814,38994314,"AKIRIN1",500
"chr17",50562351,50562851,"CACNA1G",500
"chr18",10454807,10455307,"APCDD1",500
"chr20",2792435,2792935,"CPXM1",500
"chr1",167722793,167723293,"MPZL1",500
"chr6",34238802,34239302,"HMGA1",500
"chr12",47972338,47972838,"COL2A1",500
"chr19",8066738,8067238,"FBN3",500
"chr1",167720526,167721026,"MPZL1",500
"chr1",149927509,149928009,"MTMR11",500
"chr4",20252007,20252507,"SLIT2",500
"chr5",122312271,122312771,"SNCAIP",500
"chr1",46246650,46247150,"RAD54L",500
"chrX",2828372,2828872,"GYG2",500
"chr5",122311778,122312278,"SNCAIP",500
"chr9",71681732,71682232,"CEMIP2",500
"chrX",2829385,2829885,"GYG2",500
"chr2",218712649,218713149,"TTLL4",500
"chr10",123703725,123704225,"CPXM2",500
"chr18",72537724,72538224,"CBLN2",500
"chr13",38689291,38689791,"FREM2",500
"chr1",149901418,149901918,"SV2A",500
"chrX",132025608,132026108,"STK26",500
"chr17",8475155,8475655,"MYH10",500
"chr14",24397621,24398121,"NYNRIN",500
"chr15",89574090,89574590,"TICRR",500
"chr21",45494603,45495103,"SLC19A1",500
"chr3",133931691,133932191,"SLCO2A1",500
"chr11",125625700,125626200,"CHEK1",500
"chr10",119724735,119725235,"INPP5F",500
"chr15",66704692,66705192,"SMAD6",500
"chr6",20403576,20404076,"E2F3",500
"chr22",21420021,21420521,"HIC2",500
"chr1",53241526,53242026,"LRP8",500
"chr1",47215441,47215941,"TAL1",500
"chr3",13316683,13317183,"NUP210",500
"chr20",6767996,6768496,"BMP2",500
"chr2",1633117,1633617,"PXDN",500
"chr18",44680961,44681461,"SETBP1",500
"chr3",13313940,13314440,"NUP210",500
"chr2",205684423,205684923,"NRP2",500
"chr4",4349543,4350043,"NSG1",500
"chr20",32190924,32191424,"PLAGL2",500
"chr17",48997311,48997811,"IGF2BP1",500
"chr9",86025254,86025754,"GOLM1",500
"chr17",42753648,42754148,"RAMP2-AS1",500
"chr22",27850735,27851235,"PITPNB",500
"chr9",87496373,87496873,"DAPK1",500
"chr8",125431573,125432073,"TRIB1",500
"chr9",128458097,128458597,"ODF2",500
"chr6",117455446,117455946,"DCBLD1",500
"chr3",10028292,10028792,"FANCD2",500
"chrX",2830359,2830859,"GYG2",500
"chr17",62968094,62968594,"TANC2",500
"chr2",205681617,205682117,"NRP2",500
"chr9",113223340,113223840,"SLC31A1",500
"chr21",43658801,43659301,"RRP1B",500
"chr17",8472689,8473189,"MYH10",500
"chr17",50108930,50109430,"SAMD14",500
"chr1",89182158,89182658,"GBP4",500
"chr4",110044683,110045183,"ELOVL6",500
"chr7",41959492,41959992,"GLI3",500
"chr5",76615186,76615686,"F2RL2",500
"chr14",24400084,24400584,"NYNRIN",500
"chrX",71257266,71257766,"NONO",500
"chr14",69855074,69855574,"SMOC1",500
"chr6",2885086,2885586,"SERPINB9",500
"chr17",79930546,79931046,"TBC1D16",500
"chr5",34656871,34657371,"RAI14",500
"chr17",73333375,73333875,"SDK2",500
"chrX",15466712,15467212,"BMX",500
"chr21",31119082,31119582,"TIAM1",500
"chr1",29236417,29236917,"PTPRU",500
"chr2",25229235,25229735,"DNMT3A",500
"chr5",122313891,122314391,"SNCAIP",500
"chr20",32190752,32191252,"PLAGL2",500
"chr10",15513626,15514126,"ITGA8",500
"chr13",38689527,38690027,"FREM2",500
"chr1",149926154,149926654,"MTMR11",500
"chr1",149903896,149904396,"SV2A",500
"chr17",48997417,48997917,"IGF2BP1",500
"chr6",117455925,117456425,"DCBLD1",500
"chr5",172323941,172324441,"SH3PXD2B",500
"chr17",4583189,4583689,"SMTNL2",500
"chr1",29237753,29238253,"PTPRU",500
"chr9",129884672,129885172,"FNBP1",500
"chr4",20253210,20253710,"SLIT2",500
"chr14",76762299,76762799,"VASH1",500
"chr4",2060589,2061089,"NAT8L",500
"chr2",25229222,25229722,"DNMT3A",500
"chr11",61754761,61755261,"MYRF",500
"chr17",41815397,41815897,"FKBP10",500
"chr19",29811808,29812308,"CCNE1",500
"chr1",29237978,29238478,"PTPRU",500
"chr3",15447321,15447821,"COLQ",500
"chr16",1151977,1152477,"CACNA1H",500
"chr1",43991759,43992259,"SLC6A9",500
"chr17",79778672,79779172,"CBX2",500
"chr16",1152095,1152595,"CACNA1H",500
"chr13",26556737,26557237,"WASF3",500
"chr1",160114723,160115223,"ATP1A2",500
"chr3",109326162,109326662,"DPPA4",500
"chr7",101365573,101366073,"COL26A1",500
"chr13",26559824,26560324,"WASF3",500
"chr7",2634017,2634517,"TTYH3",500
"chr3",13316020,13316520,"NUP210",500
"chr11",69640407,69640907,"CCND1",500
"chr6",85448241,85448741,"NT5E",500
"chr17",55717821,55718321,"TMEM100",500
"chr1",46246331,46246831,"RAD54L",500
"chr12",44508454,44508954,"NELL2",500
"chr17",1518714,1519214,"PITPNA",500
"chr7",105440742,105441242,"PUS7",500
"chr1",154153975,154154475,"TPM3",500
"chr8",27634820,27635320,"SCARA3",500
"chr21",31117571,31118071,"TIAM1",500
"chr1",46248146,46248646,"RAD54L",500
"chr15",89575546,89576046,"TICRR",500
"chr3",15451577,15452077,"COLQ",500
"chr16",23836859,23837359,"PRKCB",500
"chrX",132024063,132024563,"STK26",500
"chr9",86023965,86024465,"GOLM1",500
"chr5",34657418,34657918,"RAI14",500
"chr3",101826952,101827452,"NFKBIZ",500
"chr11",61755021,61755521,"MYRF",500
"chr15",88622358,88622858,"AEN",500
"chr10",69803727,69804227,"COL13A1",500
"chr6",107063877,107064377,"BEND3",500
"chr19",16110863,16111363,"RAB8A",500
"chr17",79930354,79930854,"TBC1D16",500
"chr1",206507271,206507771,"RASSF5",500
"chr20",62461065,62461565,"GATA5",500
"chr4",4349039,4349539,"NSG1",500
"chr20",62816222,62816722,"COL9A3",500
"chr10",69803417,69803917,"COL13A1",500
"chr6",20403784,20404284,"E2F3",500
"chr1",21218496,21218996,"ECE1",500
"chr17",8475520,8476020,"MYH10",500
"chr10",71215005,71215505,"UNC5B",500
"chr9",87496023,87496523,"DAPK1",500
"chr1",38990579,38991079,"AKIRIN1",500
"chr5",83637808,83638308,"HAPLN1",500
"chr12",47973220,47973720,"COL2A1",500
"chr10",100348743,100349243,"SCD",500
"chr22",21417043,21417543,"HIC2",500
"chr3",48154275,48154775,"CDC25A",500
"chr6",34238703,34239203,"HMGA1",500
"chr15",75464672,75465172,"PTPN9",500
"chr1",206469409,206469909,"IKBKE",500
"chr8",121612671,121613171,"HAS2",500
"chr2",25228406,25228906,"DNMT3A",500
"chr9",78296091,78296591,"PSAT1",500
"chr7",105437347,105437847,"PUS7",500
"chr17",42825003,42825503,"PSME3",500
"chr6",1612367,1612867,"FOXC1",500
"chr17",62967120,62967620,"TANC2",500
"chr19",8064866,8065366,"FBN3",500
"chr10",71211080,71211580,"UNC5B",500
"chr6",43076271,43076771,"PTK7",500
"chr9",113877370,113877870,"ZNF618",500
"chr15",80777889,80778389,"CEMIP",500
"chr21",31116746,31117246,"TIAM1",500
"chr10",119727844,119728344,"INPP5F",500
"chrX",71255085,71255585,"NONO",500
"chr14",70641583,70642083,"TTC9",500
"chr4",108047031,108047531,"LEF1",500
"chr13",26558160,26558660,"WASF3",500
"chr13",26557594,26558094,"WASF3",500
"chr1",38991445,38991945,"AKIRIN1",500
"chr1",156720964,156721464,"ISG20L2",500
"chr19",8065553,8066053,"FBN3",500
"chr9",86023612,86024112,"GOLM1",500
"chr17",73332614,73333114,"SDK2",500
"chr4",2058497,2058997,"NAT8L",500
"chr17",50560916,50561416,"CACNA1G",500
"chr6",142301437,142301937,"ADGRG6",500
"chr6",89096701,89097201,"SRSF12",500
"chr9",78296797,78297297,"PSAT1",500
"chr12",74537883,74538383,"ATXN7L3B",500
"chr5",168291271,168291771,"WWC1",500
"chr20",6769594,6770094,"BMP2",500
"chr4",2061148,2061648,"NAT8L",500
"chr3",48154860,48155360,"CDC25A",500
"chr6",43076469,43076969,"PTK7",500
"chr1",154153391,154153891,"TPM3",500
"chr13",38687825,38688325,"FREM2",500
"chr4",4348030,4348530,"NSG1",500
"chr10",71212987,71213487,"UNC5B",500
"chr1",64469505,64470005,"CACHD1",500
"chr2",11484307,11484807,"GREB1",500
"chr1",52682738,52683238,"COA7",500
"chr10",100347525,100348025,"SCD",500
"chr3",152834127,152834627,"P2RY1",500
"chr7",101365127,101365627,"COL26A1",500
"chr10",5414113,5414613,"NET1",500
"chr8",121612548,121613048,"HAS2",500
"chr7",105439052,105439552,"PUS7",500
"chr3",109324063,109324563,"DPPA4",500
"chr9",129887425,129887925,"FNBP1",500
"chr5",34655580,34656080,"RAI14",500
"chr6",89094791,89095291,"SRSF12",500
"chr5",150295608,150296108,"ARSI",500
"chr17",41814335,41814835,"FKBP10",500
"chr10",100349997,100350497,"SCD",500
"chr5",122310242,122310742,"SNCAIP",500
"chr2",205684113,205684613,"NRP2",500
"chrX",132025509,132026009,"STK26",500
"chr8",103154480,103154980,"BAALC-AS1",500
"chr19",16114400,16114900,"RAB8A",500
"chr4",4347696,4348196,"NSG1",500
"chr1",43992304,43992804,"SLC6A9",500
"chr12",74537716,74538216,"ATXN7L3B",500
"chr10",106571778,106572278,"SORCS1",500
"chr21",31119602,31120102,"TIAM1",500
"chr7",41959222,41959722,"GLI3",500
"chr1",89180692,89181192,"GBP4",500
"chr10",106570949,106571449,"SORCS1",500
"chr2",96337313,96337813,"NCAPH",500
"chr3",186046381,186046881,"ETV5",500
"chr3",109323564,109324064,"DPPA4",500
"chr6",43521914,43522414,"XPO5",500
"chr3",13314443,13314943,"NUP210",500
"chrX",9786843,9787343,"SHROOM2",500
"chr5",76718618,76719118,"F2R",500
"chr1",47216192,47216692,"TAL1",500
"chr8",125429944,125430444,"TRIB1",500
"chr1",21593570,21594070,"RAP1GAP",500
"chr10",121475421,121475921,"FGFR2",500
"chr6",85449708,85450208,"NT5E",500
"chr10",22532951,22533451,"PIP4K2A",500
"chr18",316247,316747,"COLEC12",500
"chr20",32191897,32192397,"PLAGL2",500
"chr11",125624748,125625248,"CHEK1",500
"chr1",46246089,46246589,"RAD54L",500
"chr1",149929247,149929747,"MTMR11",500
"chr5",168290746,168291246,"WWC1",500
"chr7",41959505,41960005,"GLI3",500
"chr1",21216548,21217048,"ECE1",500
"chr11",35943832,35944332,"LDLRAD3",500
"chr15",88624251,88624751,"AEN",500
"chr1",46246240,46246740,"RAD54L",500
"chr9",87499003,87499503,"DAPK1",500
"chr19",798011,798511,"PTBP1",500
"chr7",150992795,150993295,"NOS3",500
"chr13",26559353,26559853,"WASF3",500
"chr14",70641000,70641500,"TTC9",500
"chr2",205684328,205684828,"NRP2",500
"chr4",2060331,2060831,"NAT8L",500
"chr5",172325238,172325738,"SH3PXD2B",500
"chr11",125627497,125627997,"CHEK1",500
"chr6",34237160,34237660,"HMGA1",500
"chr15",80780368,80780868,"CEMIP",500
"chr6",1611077,1611577,"FOXC1",500
"chr7",41959657,41960157,"GLI3",500
"chr7",101364178,101364678,"COL26A1",500
"chr1",156722401,156722901,"ISG20L2",500
"chr5",34658047,34658547,"RAI14",500
"chr3",129975853,129976353,"TRH",500
"chr7",2634877,2635377,"TTYH3",500
"chr6",107062238,107062738,"BEND3",500
"chr16",64942073,64942573,"CDH11",500
"chr17",42823846,42824346,"PSME3",500
"chr16",46689010,46689510,"ORC6",500
"chr17",73332209,73332709,"SDK2",500
"chr20",6769975,6770475,"BMP2",500
"chr9",114333457,114333957,"AKNA",500
"chr19",19388768,19389268,"GATAD2A",500
"chr1",46248495,46248995,"RAD54L",500
"chr15",66702012,66702512,"SMAD6",500
"chr9",131008918,131009418,"LAMC3",500
"chr22",21417303,21417803,"HIC2",500
"chr17",79779024,79779524,"CBX2",500
"chr14",76762535,76763035,"VASH1",500
"chr10",69804722,69805222,"COL13A1",500
"chr2",215359592,215360092,"FN1",500
"chr18",10455832,10456332,"APCDD1",500
"chr6",2887895,2888395,"SERPINB9",500
"chr5",32691202,32691702,"NPR3",500
"chr10",100346397,100346897,"SCD",500
"chr14",69852794,69853294,"SMOC1",500
"chr15",65532405,65532905,"HACD3",500
"chr21",33642674,33643174,"ITSN1",500
"chr12",74538654,74539154,"ATXN7L3B",500
"chr1",201484016,201484516,"CSRP1",500
"chr7",105439576,105440076,"PUS7",500
"chr3",184560300,184560800,"EPHB3",500
"chr7",150991359,150991859,"NOS3",500
"chr9",128454974,128455474,"ODF2",500
"chr1",46246891,46247391,"RAD54L",500
"chr6",142303227,142303727,"ADGRG6",500
"chr19",798122,798622,"PTBP1",500
"chr21",43660857,43661357,"RRP1B",500
"chr1",47214847,47215347,"TAL1",500
"chr1",21214794,21215294,"ECE1",500
"chr9",113878396,113878896,"ZNF618",500
"chr3",48154489,48154989,"CDC25A",500
"chr15",89577788,89578288,"TICRR",500
"chr15",65530550,65531050,"HACD3",500
"chr6",2884566,2885066,"SERPINB9",500
"chr6",2885778,2886278,"SERPINB9",500
"chr6",43078187,43078687,"PTK7",500
"chr20",62461755,62462255,"GATA5",500
"chr2",68860819,68861319,"BMP10",500
"chr12",65827450,65827950,"HMGA2",500
"chr6",34237111,34237611,"HMGA1",500
"chr17",73333922,73334422,"SDK2",500
"chr16",1154683,1155183,"CACNA1H",500
"chr10",123705726,123706226,"CPXM2",500
"chr14",69855255,69855755,"SMOC1",500
"chr6",43521671,43522171,"XPO5",500
"chr7",2631393,2631893,"TTYH3",500
"chr3",139934415,139934915,"CLSTN2",500
"chr19",798803,799303,"PTBP1",500
"chr1",167723116,167723616,"MPZL1",500
"chr16",46688807,46689307,"ORC6",500
"chr15",75463564,75464064,"PTPN9",500
"chr3",129976805,129977305,"TRH",500
"chr2",218712983,218713483,"TTLL4",500
"chr1",206471343,206471843,"IKBKE",500
"chr4",1793039,1793539,"FGFR3",500
"chr5",32688658,32689158,"NPR3",500
"chr16",51136209,51136709,"SALL1",500
"chr5",147387877,147388377,"DPYSL3",500
"chr11",35945988,35946488,"LDLRAD3",500
"chrX",71255908,71256408,"NONO",500
"chr1",53242541,53243041,"LRP8",500
