sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_12	sample_13	sample_14	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40
ENST00000511409.1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	4	1	0
NM_014722	4	1	1	1	1	3	2	2	1	4	2	1	3	1	2	2	2	1	1	2	1	4	2	1	1	1	2	1	1	1	1	2	1	3	2	2	5
NM_014720	0	1	3	1	1	1	0	1	2	1	2	0	1	0	2	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	2	1	1	5	3	1	0
ENST00000598753.1	2	1	2	3	0	0	2	2	1	0	1	2	0	0	0	4	0	0	0	1	0	4	3	1	0	0	0	0	0	0	1	1	1	2	4	1	0
ENST00000336053.6	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ENST00000471595.1	1	2	4	2	1	0	1	1	2	0	1	1	1	3	1	1	1	2	1	1	1	3	0	2	1	1	1	1	1	1	1	1	0	2	9	3	2
NM_014729	1	1	1	0	1	1	1	1	1	0	1	0	2	1	3	1	1	1	1	1	0	0	2	1	1	2	1	0	1	1	0	3	0	2	2	1	1
NM_014727	3	2	5	3	2	1	5	2	1	1	1	1	7	2	3	2	2	2	4	4	0	5	3	3	3	2	1	1	1	1	3	2	2	5	1	1	2
NR_045260	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000349699.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
NM_014726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENST00000504480.1	2	0	2	1	2	0	1	0	0	2	1	0	6	3	0	1	0	1	0	1	0	4	0	2	1	4	1	3	0	1	3	4	1	3	2	1	1
NM_000117	1	1	2	1	0	0	1	2	0	1	0	1	1	1	2	4	1	1	2	2	1	8	0	1	3	0	1	1	1	0	1	1	1	1	6	2	1
ENST00000404339.1	0	1	1	3	0	0	2	2	2	5	0	1	1	2	5	3	2	0	1	0	1	1	1	3	1	0	0	1	2	4	3	3	3	3	5	3	4
NM_000116	0	1	0	0	0	1	1	0	0	0	2	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
NM_000113	1	1	3	1	0	1	1	0	1	1	1	1	0	1	2	0	0	1	0	0	1	1	2	1	2	0	1	1	1	1	1	3	1	2	2	2	1
NM_001127192	0	1	3	0	3	1	0	1	0	0	1	1	0	1	2	2	0	3	1	1	3	6	1	2	1	2	1	3	2	2	5	0	4	3	12	4	2
NM_000112	3	2	3	1	2	0	2	2	1	1	0	4	5	2	4	9	3	1	1	10	2	17	5	3	10	3	3	5	7	3	6	12	3	2	12	12	4
NM_000110	4	2	3	4	4	1	3	3	2	1	2	1	4	1	1	3	1	1	2	4	2	1	1	1	1	2	2	1	1	3	3	4	1	2	2	2	1
NR_033289	0	0	1	0	1	1	1	2	1	1	0	0	2	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	1	1	0	0
NM_014761	4	8	13	8	13	3	12	3	8	6	9	2	8	2	9	8	6	4	4	5	3	22	5	11	10	8	8	5	3	3	11	6	6	10	18	12	6
NM_001441	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	4	1	0
NM_014760	1	2	4	6	2	2	1	2	3	1	5	2	4	5	3	4	3	2	4	4	3	21	2	3	4	0	2	2	2	2	2	4	4	5	14	10	1
NM_002773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000205636.3	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	3	3	4	0	0
NM_001127198	1	3	4	5	2	2	3	3	0	2	1	1	4	4	9	5	5	1	0	1	3	10	2	2	4	0	5	0	2	2	9	2	1	4	24	15	1
NM_001444	1	2	0	1	0	1	0	2	1	2	1	0	1	0	2	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	4	3	0
NM_002775	1	1	2	2	0	2	2	2	2	2	0	0	3	1	2	2	2	5	0	1	2	3	2	4	3	0	2	2	4	3	4	2	9	1	7	3	0
NM_001127197	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	2	1	0
NM_002778	1	1	9	4	0	1	1	1	2	1	1	0	2	1	6	3	3	3	3	1	2	10	2	3	10	1	0	0	1	1	1	2	3	4	16	9	1
NM_001447	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NM_000118	3	0	4	6	1	2	5	4	0	2	1	3	4	6	7	6	9	9	4	4	5	13	3	6	6	2	4	4	3	2	5	1	4	4	23	17	3
NM_001448	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
NM_002779	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NM_014758	1	1	1	0	1	1	2	0	1	0	0	2	1	2	1	2	1	1	1	1	1	3	2	1	3	0	0	0	1	2	4	1	1	2	14	1	1
NM_013427	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	3	1	2	0
NM_014757	1	1	2	3	1	1	1	0	1	4	1	1	1	2	5	6	1	1	3	1	3	2	1	3	2	3	1	2	1	1	13	1	9	3	3	8	1
NM_014755	5	5	7	10	3	2	4	7	2	4	3	9	6	2	7	8	6	5	7	3	4	21	3	6	8	3	8	4	0	5	6	7	10	6	20	4	3
NM_014754	1	1	1	6	2	3	1	1	2	3	4	2	4	1	3	6	2	2	2	1	1	9	2	1	7	3	12	1	1	1	1	6	5	1	6	2	1
NM_014753	1	2	3	2	3	1	3	1	5	1	1	1	5	1	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	3	2	2	1
ENST00000250498.4	0	0	1	1	0	0	3	1	0	0	0	2	0	0	1	1	0	1	0	1	2	3	1	1	1	0	0	0	0	0	2	2	4	1	1	1	0
NM_014751	3	13	2	1	16	11	2	13	1	2	1	2	13	1	1	3	1	6	2	1	1	1	1	1	2	1	1	6	1	2	1	19	4	2	13	1	1
NM_000120	2	1	4	0	1	0	0	1	1	2	0	0	2	2	1	2	1	1	2	4	3	1	1	0	3	3	2	0	1	1	2	1	1	1	3	3	3
NM_001439	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENST00000377532.3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
NM_000101	0	0	0	0	2	0	0	0	1	1	0	0	1	1	2	1	2	0	0	1	4	2	1	0	2	0	0	0	0	1	2	0	0	0	3	2	6
ENST00000312719.5	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1
NM_000100	2	0	2	1	0	1	1	1	0	0	2	0	0	1	3	0	0	0	0	0	2	6	1	2	1	0	0	1	1	0	1	0	5	0	3	3	1
NM_001430	2	1	2	10	3	1	5	2	3	1	1	3	1	8	3	1	2	2	1	6	1	12	1	2	1	0	1	1	1	2	1	1	2	1	2	2	1
NM_014750	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0
NM_001431	2	4	1	2	3	0	1	2	4	0	0	1	2	2	1	0	2	1	1	2	1	1	0	1	1	0	1	0	1	1	1	0	3	3	3	1	0
NM_002763	2	1	7	1	4	3	0	1	3	5	3	2	1	3	6	3	3	1	1	2	1	9	2	4	2	1	3	0	6	1	5	0	3	5	16	17	5
ENST00000441560.2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0
NM_001433	2	7	1	8	4	3	4	4	3	5	5	1	5	0	2	7	1	3	3	2	2	4	5	2	2	0	3	5	2	1	8	3	7	3	6	2	2
NM_002764	1	1	1	1	2	0	1	1	1	1	0	1	0	1	1	3	0	2	4	1	1	3	3	0	0	0	1	0	1	1	2	1	3	0	4	3	1
NM_002766	1	1	2	3	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	0	2	1	1	1	1	2	1	1	1	2
NM_000109	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
NM_001436	1	3	1	1	1	1	1	2	1	1	1	1	2	2	3	1	1	3	1	2	1	9	1	2	4	1	1	1	2	0	1	1	2	2	9	1	3
NM_002767	1	2	2	3	1	1	2	1	3	1	1	2	1	1	2	2	3	0	3	2	0	1	2	6	1	1	3	3	3	0	6	4	1	2	2	4	2
NM_000108	3	3	3	1	3	1	3	1	1	3	0	3	1	3	4	3	1	1	2	2	2	6	4	2	7	1	1	2	1	3	1	1	2	7	12	4	2
NM_002768	4	0	3	2	1	1	2	1	1	2	0	1	0	1	4	2	1	2	1	1	2	8	3	0	3	0	1	1	0	1	1	2	2	3	11	2	2
NM_000107	1	1	1	1	1	0	0	1	0	0	0	0	2	1	1	2	1	1	1	0	2	2	2	4	0	2	2	1	1	1	3	2	0	1	1	1	0
NM_014747	0	2	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	7	0	1
NM_014746	3	3	1	6	1	1	3	1	9	5	1	4	1	2	3	8	1	0	1	2	1	3	5	2	1	2	2	1	3	3	1	1	2	6	1	4	1
NM_014744	1	1	1	1	2	3	1	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	4	1	1	4	2	3	6	2	1
NM_014743	2	6	1	1	2	1	3	1	1	7	2	2	1	4	3	8	1	1	6	2	2	3	1	1	1	4	6	1	2	2	1	1	3	3	2	2	4
NM_013412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_014742	0	1	1	1	1	2	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	0	1	1	2	1	1	1	2	2	1	2
NM_013410	4	10	0	10	4	3	7	3	3	5	2	8	7	1	10	6	4	3	2	4	5	24	12	14	3	2	9	4	2	2	11	11	10	5	17	6	2
NM_001440	4	4	2	1	1	1	2	1	7	4	3	3	7	1	7	2	6	6	1	1	1	3	2	1	1	1	4	4	3	1	1	6	3	1	3	2	6
NM_014740	1	1	2	0	1	1	1	1	2	1	0	3	1	4	1	1	1	2	2	1	2	12	0	0	1	0	0	2	0	1	2	5	8	2	15	6	1
ENST00000392985.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
NM_014748	1	1	4	3	1	1	3	3	1	4	1	1	1	2	1	3	2	2	1	2	1	3	3	1	4	1	1	1	1	1	4	2	3	4	12	3	1
NM_013417	1	1	1	4	1	1	1	1	3	1	1	2	1	1	1	2	1	2	2	2	2	1	1	3	1	2	4	1	2	1	1	2	3	1	1	2	1
NM_145290	2	1	6	9	2	1	5	1	9	7	2	5	14	3	7	1	9	7	7	6	5	1	7	10	11	3	8	3	2	7	1	7	2	15	20	1	2
NM_002835	1	2	2	2	2	1	2	1	4	1	2	1	3	1	1	2	1	1	1	3	2	3	2	1	3	2	1	1	1	3	3	4	1	1	3	1	1
NM_001008800	1	2	3	1	3	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	5	7	2
NM_002836	2	1	1	3	5	0	1	1	1	2	2	1	1	1	5	2	5	1	2	2	1	3	2	1	2	1	1	2	1	3	3	3	1	1	2	3	1
NM_001164238	0	1	1	0	0	2	0	0	0	4	0	0	6	3	2	1	4	0	0	2	0	2	0	4	4	1	0	0	0	0	0	0	0	2	0	0	1
NM_002837	1	3	2	3	4	3	2	0	0	3	1	1	1	1	4	4	2	2	0	2	0	1	1	3	2	3	1	1	1	2	6	1	10	1	7	2	0
ENST00000367510.3	0	0	1	1	2	0	0	0	1	0	0	1	1	2	4	2	0	1	1	0	0	5	1	1	1	0	0	0	0	0	3	0	1	3	5	1	1
NM_002839	2	1	4	2	1	2	1	2	1	4	1	2	1	1	1	2	1	2	18	1	1	6	2	2	1	1	11	2	1	1	1	1	1	2	1	6	1
NM_145298	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002830	1	1	1	1	1	1	2	1	2	1	3	1	2	1	3	1	4	1	4	1	1	2	2	2	3	3	3	2	3	2	1	2	2	1	6	1	3
NM_145295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NM_001500	1	1	2	1	2	2	5	1	5	7	1	5	1	1	5	1	6	2	5	1	0	3	0	1	7	2	1	1	2	8	4	8	5	2	10	10	2
NM_145294	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	2	1	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	6	1
NM_002832	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002833	2	1	3	3	2	1	3	0	1	0	1	2	1	1	2	1	1	1	2	1	1	3	0	1	4	0	1	1	1	1	3	2	1	1	5	3	1
ENST00000561030.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENST00000474080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002834	1	1	2	1	1	0	1	1	2	1	2	1	3	2	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	2	2	1	4	2	1
NM_001503	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	2	1	0
NM_145291	0	0	0	0	1	1	0	0	1	0	0	3	1	0	2	0	0	1	0	1	1	2	0	0	3	0	0	1	0	1	2	1	1	0	0	1	0
NM_014813	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	4	2	1	2	1	1	2	2	1	1	2	3	1	2	3	1
ENST00000397771.2	0	0	1	1	0	1	1	0	1	1	0	0	0	0	3	0	1	2	0	1	0	1	0	1	0	0	2	0	0	0	1	1	0	0	1	2	0
NM_014812	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
ENST00000426973.1	0	0	1	0	0	1	2	1	0	0	0	0	2	0	0	1	0	0	0	1	2	1	0	1	1	0	0	0	0	2	0	1	0	0	3	4	1
NM_014811	2	3	6	1	1	0	0	0	1	0	0	1	1	2	2	2	1	0	3	2	3	9	3	0	4	0	1	0	1	1	1	0	2	2	15	9	1
NM_014810	1	1	3	2	3	1	1	1	2	1	1	1	6	1	1	1	1	1	1	1	1	1	3	1	1	2	1	2	2	2	1	2	3	2	2	2	1
ENST00000258796.7	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0
ENST00000546682.1	4692	1400	2734	5068	5514	3196	3960	2147	2761	1339	4164	8779	4064	2210	3765	4329	3667	4128	2916	7537	4856	4244	6931	7227	2606	11163	9662	4656	7466	5552	9459	9337	7382	7741	2971	5031	1037
NM_014819	5	6	5	18	9	2	5	6	3	2	6	7	16	13	13	20	6	12	8	6	6	41	14	11	5	2	9	8	5	2	18	7	14	13	15	14	2
NM_014817	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
NM_014815	626	83	235	918	251	402	770	478	125	209	636	1198	795	561	396	553	414	515	132	772	236	603	773	558	196	721	669	718	724	527	1085	727	771	676	223	282	57
NM_014814	1	0	1	1	1	1	2	1	1	2	1	1	1	0	4	0	2	3	2	3	1	6	2	1	3	0	1	1	1	1	1	2	2	2	12	6	2
NM_002824	2	1	7	3	1	0	1	0	0	0	1	3	5	4	4	3	1	1	4	2	2	4	5	1	3	0	2	1	3	1	1	1	3	4	17	5	1
NM_002825	0	1	0	0	0	2	3	0	1	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	1	1	6	1	0
NM_002826	1	1	2	1	0	2	1	0	2	2	0	1	1	2	1	5	2	1	2	2	3	2	1	1	2	2	1	1	1	2	2	3	1	1	3	3	1
NM_002827	1	1	1	1	1	1	3	0	3	0	2	1	2	1	1	3	0	1	1	1	1	2	1	1	1	2	2	2	0	1	1	1	1	1	1	3	2
ENST00000376214.1	0	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	2	0	0	0	1	0	1	1	0
NM_002828	1	1	2	3	1	1	1	1	2	2	0	3	1	1	0	1	2	3	2	3	2	3	2	0	0	1	1	0	1	2	4	2	0	4	7	2	1
NM_002829	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0
ENST00000582970.1	1	1	1	1	2	0	1	0	1	2	1	0	0	0	0	0	1	1	1	0	0	2	0	0	1	1	1	0	2	0	1	2	0	0	2	3	1
NM_002820	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NM_002821	3	1	8	4	5	2	2	6	2	2	2	4	2	4	8	8	3	2	4	6	6	11	3	3	9	1	2	1	1	2	5	3	3	5	33	11	1
NM_002823	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	0
NM_014802	1	1	2	2	2	1	2	1	4	7	1	2	2	2	1	2	4	1	2	1	1	3	3	1	1	1	1	1	3	2	1	2	1	2	2	2	1
NM_014801	1	0	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	2	1	0	1	2	1	1	1	0	1	1	1	1
ENST00000170447.7	0	1	1	1	0	1	2	1	0	1	0	1	1	3	2	0	0	1	0	1	0	3	1	1	0	0	1	0	0	1	2	4	1	3	4	0	0
NM_014800	3	3	6	2	6	2	7	4	8	5	3	2	9	1	5	3	9	4	4	1	0	6	4	8	8	3	2	6	3	7	11	2	4	4	6	9	5
NM_014808	3	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1
NM_014807	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	2	0	1	1	0
ENST00000261942.6	1	1	1	2	1	1	1	0	1	1	1	0	0	1	1	2	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	3	2	1
NM_014806	1	3	6	5	5	0	3	8	5	2	1	3	2	2	5	3	5	1	2	4	1	5	0	5	6	3	3	3	1	3	8	5	4	5	10	9	5
NM_014804	1	2	4	0	1	0	4	1	1	1	0	0	1	2	1	1	4	0	0	1	2	1	0	3	1	2	1	2	4	2	0	2	0	1	3	0	2
NM_014803	1	4	2	5	4	2	3	1	5	6	1	1	4	4	3	5	6	2	2	3	4	10	1	6	5	3	1	1	2	4	1	1	5	3	1	6	2
NM_002857	0	1	3	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	4	0
NM_001251902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002858	2	2	3	2	2	1	1	3	3	4	1	2	2	2	3	4	4	3	4	1	1	12	2	3	2	2	4	1	1	2	4	3	2	5	5	3	2
ENST00000489653.1	0	0	0	2	0	0	0	0	0	1	0	0	2	2	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	2	0
NM_002850	1	1	3	1	1	2	6	1	1	3	2	1	1	3	8	3	3	2	3	1	2	11	2	2	6	1	1	1	5	1	2	1	2	6	21	12	1
ENST00000393227.2	2	3	4	1	5	0	4	1	2	5	2	1	2	3	3	4	3	3	2	0	2	4	2	2	1	1	0	1	2	5	2	1	0	2	9	2	0
NM_001520	3	2	12	5	3	1	4	1	2	2	1	2	1	3	6	4	1	3	4	4	3	15	2	5	9	1	5	1	1	1	5	3	5	4	32	12	2
NM_002851	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
NM_001521	1	1	3	3	1	1	1	1	2	1	1	1	1	3	2	2	2	1	2	1	1	8	2	2	3	0	1	1	1	0	4	2	3	2	3	1	1
NM_001164211	3	2	1	1	1	1	2	1	3	1	1	2	2	1	2	1	1	1	4	1	2	1	2	1	1	2	1	1	1	1	2	4	1	1	1	1	1
NM_001164213	3	4	11	9	5	2	5	3	7	4	2	5	13	2	8	2	5	6	6	6	4	11	2	4	4	6	6	2	5	10	6	3	7	13	13	4	5
NM_002855	0	0	1	0	0	1	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	3	1	1	1	0	1	0	0	0	1	1	0	0	2	0	0
NM_002856	1	1	3	1	2	1	1	0	2	2	1	0	0	1	1	2	2	1	1	0	0	4	1	1	6	0	1	1	0	2	1	2	0	3	5	3	2
NM_014832	1	13	1	3	1	2	1	8	14	1	1	1	3	17	3	3	2	12	7	9	8	4	2	9	2	1	11	2	3	14	1	1	12	1	7	1	1
NM_014831	1	3	13	4	1	1	3	1	1	1	0	3	5	3	6	3	5	5	6	3	2	4	3	6	9	2	1	2	3	4	4	8	3	7	13	10	2
NM_014839	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NM_014838	1	1	3	8	2	1	2	1	2	0	1	2	4	6	3	4	1	5	3	5	3	13	4	0	2	2	3	1	1	2	4	2	1	5	16	8	1
NM_002846	1	1	0	4	0	7	2	3	0	0	3	2	2	1	0	1	0	0	1	4	0	4	2	1	0	5	3	2	3	0	2	1	2	2	2	1	0
ENST00000514529.1	0	0	3	1	0	0	1	0	0	0	2	1	2	3	4	0	3	1	0	1	0	1	1	0	2	0	1	0	0	0	3	2	1	3	7	2	0
NM_001515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NM_002847	0	1	1	1	0	0	1	6	1	1	1	1	1	1	1	1	0	2	0	0	0	1	0	0	0	1	1	2	1	2	1	1	1	1	2	1	3
NM_001516	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	2	0	2	2	0	0	0	0	1	1	1	1	1	1	1	0
NM_002849	0	1	2	2	0	0	2	4	0	0	1	6	0	1	1	2	0	4	2	0	1	3	0	2	0	2	1	1	0	1	1	1	0	1	0	1	2
NM_001519	1	1	2	3	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	1	1	1	2	3	5	1	1
ENST00000392502.4	1	1	2	1	2	2	0	1	2	1	0	0	3	1	2	2	2	1	1	1	3	6	2	0	2	4	0	2	2	1	3	2	1	3	3	2	1
ENST00000517026.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002840	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2
NM_001510	21	29	63	63	48	40	22	40	10	42	37	44	38	54	58	50	83	91	68	105	39	93	53	66	78	24	42	24	33	61	96	89	96	91	116	121	38
NM_002841	3	5	10	8	7	29	3	3	1	1	29	3	1	3	2	4	5	2	2	1	1	1	3	5	7	2	1	20	1	8	1	1	6	3	14	3	1
NM_002842	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NM_002843	1	1	1	1	1	2	0	1	2	0	0	1	0	1	1	1	1	1	1	0	0	3	2	1	2	1	1	2	1	2	1	1	1	1	2	4	0
NM_001514	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	2	0	1	1	1	0
NM_014824	1	1	1	1	7	2	3	6	10	1	1	1	10	1	1	1	12	4	1	1	3	1	1	1	1	1	2	3	4	1	1	1	1	1	2	1	5
NM_014823	4	4	14	8	8	2	8	5	7	7	4	7	8	11	10	16	10	5	7	8	7	37	14	13	10	2	17	2	6	8	13	10	14	19	38	17	6
NM_014822	3	0	1	1	3	1	1	1	1	3	2	1	1	2	6	4	5	1	1	1	0	1	5	4	2	3	1	1	2	1	1	1	1	3	1	2	1
ENST00000300658.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NM_014820	8	1	4	8	4	1	5	2	4	1	1	1	5	6	2	8	3	10	6	4	1	19	5	5	2	2	7	2	1	3	5	2	5	3	10	9	2
ENST00000558014.1	2	1	5	1	0	3	0	2	1	0	2	1	4	0	2	3	2	1	0	4	1	2	5	3	1	2	1	1	1	1	3	3	3	1	1	4	2
ENST00000601421.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	2	0	0	1	2	2	1	0	0	0	0	1	0	0	1	1	1	0
NM_014829	2	1	2	2	4	2	2	2	2	2	2	1	1	2	2	1	1	3	1	1	1	3	1	4	2	2	2	2	3	1	1	1	7	6	3	2	2
NM_014828	0	0	4	0	0	0	1	0	1	0	0	1	1	1	0	3	0	1	0	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	3	2	2
NM_014827	2	1	13	1	2	1	3	1	4	1	2	3	1	15	2	2	1	3	2	2	1	2	2	1	1	3	1	1	1	1	1	1	1	1	1	1	3
ENST00000519327.1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	1	0
