"chr","start","end"
"chr1",50959569,50960069
"chr5",16473591,16474091
"chr15",43869324,43869824
"chr9",68705310,68705810
"chrX",77900079,77900579
"chrX",103628015,103628515
"chr2",219417017,219417517
"chr18",34492772,34493272
"chr1",50963714,50964214
"chr1",153531626,153532126
"chr1",182378546,182379046
"chr10",73422267,73422767
"chr1",100147938,100148438
"chr8",141392343,141392843
"chr2",178523598,178524098
"chr7",80368315,80368815
"chr22",41228045,41228545
"chr16",31425966,31426466
"chr7",116525490,116525990
"chr4",57031064,57031564
"chr2",30349593,30350093
"chr8",141391023,141391523
"chr10",71748098,71748598
"chr15",44712080,44712580
"chr1",165629922,165630422
"chr14",102502186,102502686
"chr6",168439681,168440181
"chr1",150256488,150256988
"chr1",150260020,150260520
"chr1",165474245,165474745
"chr2",30349096,30349596
"chr13",113456541,113457041
"chr2",46541377,46541877
"chr7",23238641,23239141
"chr15",65077684,65078184
"chr7",44143274,44143774
"chr11",19183418,19183918
"chr5",81235829,81236329
"chr5",143275591,143276091
"chr4",140386919,140387419
"chr13",113453994,113454494
"chr9",15164397,15164897
"chr7",44144022,44144522
"chr4",173522800,173523300
"chr2",237857588,237858088
"chr13",73053717,73054217
"chr1",100149920,100150420
"chr6",143061102,143061602
"chr15",65077979,65078479
"chr15",70828949,70829449
"chr18",61809348,61809848
"chr3",50610895,50611395
"chr12",26122620,26123120
"chr11",33702358,33702858
"chr8",143977405,143977905
"chr15",43872203,43872703
"chr7",31748970,31749470
"chr7",113114103,113114603
"chr7",44141884,44142384
"chr11",33700540,33701040
"chr10",23440523,23441023
"chr3",8735162,8735662
"chr1",50962269,50962769
"chr1",150256630,150257130
"chr2",30347638,30348138
"chr3",155821024,155821524
"chr2",30346297,30346797
"chr6",162726693,162727193
"chr15",65053502,65054002
"chr7",23238907,23239407
"chr6",78866593,78867093
"chr8",142771390,142771890
"chr5",145939037,145939537
"chr2",126655960,126656460
"chr15",65077441,65077941
"chr11",112089367,112089867
"chr7",120785517,120786017
"chr19",3934201,3934701
"chr2",191833681,191834181
"chr3",50611653,50612153
"chr10",97499878,97500378
"chr2",46541749,46542249
"chr2",191835541,191836041
"chr13",113454774,113455274
"chr9",12775093,12775593
"chr20",25004620,25005120
"chr18",34493587,34494087
"chr8",143977486,143977986
"chr18",61805552,61806052
"chr1",182377956,182378456
"chr6",78868179,78868679
"chr19",36150037,36150537
"chr7",44141531,44142031
"chr10",71745002,71745502
"chr1",209678080,209678580
"chr22",43152454,43152954
"chr3",195567505,195568005
"chr8",141394695,141395195
"chr14",102501192,102501692
"chr14",60142118,60142618
"chr21",25641418,25641918
"chr13",27434595,27435095
"chr4",185398066,185398566
"chr5",151020124,151020624
"chr19",10566803,10567303
"chr4",83258797,83259297
"chr10",23437883,23438383
"chr1",26050994,26051494
"chr1",50961166,50961666
"chr16",1935452,1935952
"chrX",79357498,79357998
"chr12",95656331,95656831
"chr15",88899402,88899902
"chr15",43868565,43869065
"chr19",10564660,10565160
"chr15",42411250,42411750
"chr4",173525991,173526491
"chr1",165632090,165632590
"chr10",97499907,97500407
"chr19",10567211,10567711
"chr9",121209466,121209966
"chr20",602069,602569
"chr5",145938396,145938896
"chr8",142771348,142771848
"chr19",36148514,36149014
"chr1",26049173,26049673
"chr14",103939551,103940051
"chr10",96364710,96365210
"chr6",5086377,5086877
"chr4",185398435,185398935
"chr19",15114743,15115243
"chr13",41460014,41460514
"chr10",73424115,73424615
"chr15",70830578,70831078
"chr4",173522222,173522722
"chr6",5996915,5997415
"chr2",181956674,181957174
"chr15",42413790,42414290
"chr4",152321473,152321973
"chr7",33110403,33110903
"chr9",12774683,12775183
"chr2",191834659,191835159
"chr12",9068244,9068744
"chr7",33109873,33110373
"chr11",118162300,118162800
"chr9",5355946,5356446
"chr13",23179744,23180244
"chr1",54027881,54028381
"chr13",41458406,41458906
"chr7",44141281,44141781
"chr6",81491783,81492283
"chr16",57448107,57448607
"chr7",113113911,113114411
"chr11",112089380,112089880
"chr15",42411765,42412265
"chr3",156040322,156040822
"chr2",178524086,178524586
"chr1",150259567,150260067
"chrX",103627220,103627720
"chr8",18054532,18055032
"chr17",75633628,75634128
"chr2",69396488,69396988
"chr4",83260042,83260542
"chr16",87325603,87326103
"chr19",10566073,10566573
"chr9",5355897,5356397
"chrX",154672437,154672937
"chr2",37640074,37640574
"chr12",21764193,21764693
"chr14",33924187,33924687
"chr2",219419054,219419554
"chr16",75109724,75110224
"chr19",36151003,36151503
"chr22",43151038,43151538
"chr5",151022362,151022862
"chr3",42692313,42692813
"chr2",69394854,69395354
"chr2",63591484,63591984
"chr11",62684287,62684787
"chr1",226941446,226941946
"chr3",127917025,127917525
"chr22",35649757,35650257
"chr11",63997057,63997557
"chr6",143063423,143063923
"chr17",75632908,75633408
"chr9",4678071,4678571
"chr2",86603171,86603671
"chr6",117910195,117910695
"chr2",191835452,191835952
"chr6",112088476,112088976
"chr10",13278641,13279141
"chr1",9996478,9996978
"chr8",143977862,143978362
"chr15",88897312,88897812
"chr15",70829230,70829730
"chr3",173396030,173396530
"chr17",39626783,39627283
"chr3",8733118,8733618
"chrX",79359081,79359581
"chr11",63999537,64000037
"chr13",27432774,27433274
"chr9",4678420,4678920
"chr10",96366095,96366595
"chr10",97498637,97499137
"chr13",73056557,73057057
"chr10",71747986,71748486
"chr3",127689612,127690112
"chr13",27437122,27437622
"chr14",33921633,33922133
"chr12",117040347,117040847
"chr6",162728619,162729119
"chr16",87327888,87328388
"chr2",63589258,63589758
"chr11",111907505,111908005
"chr8",90790696,90791196
"chr7",23234904,23235404
"chr2",230417171,230417671
"chr2",37639842,37640342
"chr20",25005831,25006331
"chr2",63591244,63591744
"chr17",44957185,44957685
"chr22",19523093,19523593
"chr4",185398199,185398699
"chr3",126343745,126344245
"chr2",30345604,30346104
"chr10",96363855,96364355
"chr16",57445988,57446488
"chr2",105358965,105359465
"chr3",155819907,155820407
"chr1",17016638,17017138
"chr1",100148396,100148896
"chr3",46515432,46515932
"chr9",68706205,68706705
"chrX",103629074,103629574
"chr5",112877493,112877993
"chr1",12569078,12569578
"chr3",50612397,50612897
"chr5",151020856,151021356
"chr2",20033626,20034126
"chr9",121209747,121210247
"chr5",145939273,145939773
"chr3",195566919,195567419
"chr9",131289972,131290472
"chr8",19900290,19900790
"chr7",123566372,123566872
"chr6",99370174,99370674
"chr11",67414354,67414854
"chr10",124618624,124619124
"chr11",111907394,111907894
"chr1",54025416,54025916
"chr11",108119119,108119619
"chr13",73054991,73055491
"chr5",95752554,95753054
"chr2",20032069,20032569
"chr5",191698,192198
"chr13",27436873,27437373
"chr19",10566050,10566550
"chr6",162729114,162729614
"chr1",226942280,226942780
"chr12",117038536,117039036
"chr3",149317101,149317601
"chr3",127917382,127917882
"chr3",42691520,42692020
"chr7",30911184,30911684
"chr3",42692727,42693227
"chr3",155821024,155821524
"chr15",57591620,57592120
"chr1",165476111,165476611
"chr17",39629207,39629707
"chr2",20032661,20033161
"chr11",111905616,111906116
"chr2",181954993,181955493
"chr7",49774190,49774690
"chr10",96363980,96364480
"chr8",142772302,142772802
"chr9",5358405,5358905
"chr16",1937562,1938062
"chr9",12773992,12774492
"chr21",25642253,25642753
"chr5",193124,193624
"chr3",53882620,53883120
"chr7",33109575,33110075
"chr2",230418230,230418730
"chr15",57592435,57592935
"chr3",149315804,149316304
"chr4",173524578,173525078
"chr3",192139258,192139758
"chr5",190773,191273
"chr19",8321410,8321910
"chr3",46515657,46516157
"chr2",30346529,30347029
"chr3",192139579,192140079
"chr9",5357592,5358092
"chr1",56646199,56646699
"chr3",127687604,127688104
"chr1",153531929,153532429
"chr12",95659224,95659724
"chr11",106049503,106050003
"chr2",20031611,20032111
"chr6",81491052,81491552
"chr11",33704173,33704673
"chr11",47175426,47175926
"chr2",86601805,86602305
"chr8",141392334,141392834
"chr19",36148462,36148962
"chr11",63995635,63996135
"chr21",25638642,25639142
"chr1",167917401,167917901
"chr10",97500951,97501451
"chr20",603421,603921
"chr6",81491171,81491671
"chr2",37642129,37642629
"chr7",44144077,44144577
"chr15",70826529,70827029
"chr7",23237910,23238410
"chr7",44142571,44143071
"chr12",9068008,9068508
"chr14",33921396,33921896
"chr1",26050753,26051253
"chr8",90791445,90791945
"chr12",102009999,102010499
"chrX",154676200,154676700
"chr2",46541450,46541950
"chr6",143060121,143060621
"chr1",56644894,56645394
"chr1",205505943,205506443
"chr1",74234257,74234757
"chr6",81490564,81491064
"chr13",23183797,23184297
"chr1",54023915,54024415
"chr6",143059055,143059555
"chr19",15116104,15116604
"chr17",39628080,39628580
"chr18",34494816,34495316
"chr10",71748313,71748813
"chr2",237860280,237860780
"chr2",105358477,105358977
"chr7",31750440,31750940
"chr1",56644916,56645416
"chr2",20033531,20034031
"chr1",26049337,26049837
"chr5",143279116,143279616
"chr11",108115429,108115929
"chr10",22316737,22317237
"chr5",112873702,112874202
"chr2",181953440,181953940
"chr1",150257835,150258335
"chr1",209674088,209674588
"chr3",53883209,53883709
"chr14",60143846,60144346
"chr2",63588730,63589230
"chr10",13276155,13276655
"chr8",142771311,142771811
"chr1",100147219,100147719
"chr11",19181309,19181809
"chr1",26050477,26050977
"chr14",33923844,33924344
"chr2",191831862,191832362
"chr2",20031525,20032025
"chr16",75112948,75113448
"chr3",149318257,149318757
"chr8",141391070,141391570
"chr15",57594443,57594943
"chr3",195568741,195569241
"chr5",193480,193980
"chr12",117036887,117037387
"chr3",42692778,42693278
"chrX",103629563,103630063
"chr8",142770540,142771040
"chr2",18555679,18556179
"chr1",165631549,165632049
"chr7",33108498,33108998
"chr19",15115701,15116201
"chr14",100728125,100728625
"chr6",5997058,5997558
"chr6",143061767,143062267
"chr12",117039216,117039716
"chr1",12569394,12569894
"chr4",8271780,8272280
"chr6",78868811,78869311
"chr11",106051823,106052323
"chr5",193955,194455
"chr2",46541299,46541799
"chr15",42410324,42410824
"chr4",83261140,83261640
"chr15",57591652,57592152
"chr7",31752077,31752577
"chr14",100724782,100725282
"chr16",31428490,31428990
"chr6",143061505,143062005
"chr20",25004955,25005455
"chr10",124619120,124619620
"chr6",78869612,78870112
"chr7",31749992,31750492
"chr14",100724357,100724857
"chr1",167917297,167917797
"chr3",155818355,155818855
"chr1",165477547,165478047
"chr1",167916622,167917122
"chr2",69397040,69397540
"chr4",173530116,173530616
"chr3",149318652,149319152
"chr3",192136965,192137465
"chr14",104580401,104580901
"chr5",151019490,151019990
"chr2",181957184,181957684
"chr2",18552106,18552606
"chr15",65079736,65080236
"chr6",112090431,112090931
"chr17",44960259,44960759
"chr12",9068149,9068649
"chr4",152319754,152320254
"chr15",43872232,43872732
"chr6",99369033,99369533
"chr10",73421890,73422390
"chr13",113177487,113177987
"chr1",54025291,54025791
"chr21",25640039,25640539
"chr22",19522645,19523145
"chr19",8322253,8322753
"chr5",145939235,145939735
"chr17",39629577,39630077
"chr14",55126673,55127173
"chr14",55123101,55123601
"chr6",117908382,117908882
"chr14",102502358,102502858
"chr6",166363356,166363856
"chr19",3934465,3934965
"chr13",27435470,27435970
"chr2",119366087,119366587
"chr2",37640887,37641387
"chr2",230414468,230414968
"chr16",1937180,1937680
"chr19",36148010,36148510
"chr8",142771001,142771501
"chr8",90004237,90004737
"chr18",34495642,34496142
"chr3",126342061,126342561
"chr15",70827793,70828293
"chr5",192811,193311
"chr9",15162343,15162843
"chr2",101255516,101256016
"chr11",126354886,126355386
"chr1",209675897,209676397
"chr5",81233190,81233690
"chr8",141391694,141392194
"chr2",101252102,101252602
"chr11",108115682,108116182
"chr5",143277630,143278130
"chr2",101252049,101252549
"chr21",25642037,25642537
"chr6",166362620,166363120
"chr13",113454724,113455224
"chr13",41456074,41456574
"chr4",173528576,173529076
"chr3",120596754,120597254
"chr2",69396219,69396719
"chr14",60145380,60145880
"chr1",165633064,165633564
"chr12",91101453,91101953
"chr16",75113114,75113614
"chr2",219417965,219418465
"chr14",102500714,102501214
"chr7",123569492,123569992
"chr19",36150776,36151276
"chr21",25638841,25639341
"chr1",17018850,17019350
"chr2",119368017,119368517
"chr9",12777311,12777811
"chr3",126343206,126343706
"chr4",152319856,152320356
"chr3",192138398,192138898
"chr1",26051203,26051703
"chr17",39627353,39627853
"chr6",78866253,78866753
"chr2",181953497,181953997
"chr17",39628782,39629282
"chrX",79360552,79361052
"chr22",39117955,39118455
"chr2",105357977,105358477
"chr3",149316567,149317067
"chr7",80369179,80369679
"chr14",33923249,33923749
"chr11",67416883,67417383
"chr12",102010988,102011488
"chr12",7080305,7080805
"chr7",113117441,113117941
"chr6",81490534,81491034
"chr13",113456644,113457144
"chr3",42692370,42692870
"chr11",62684667,62685167
"chr8",142768864,142769364
"chr1",209676346,209676846
"chr1",182376230,182376730
"chr3",42691204,42691704
"chr11",118161528,118162028
"chr2",126657327,126657827
"chr10",124617183,124617683
"chr22",19521067,19521567
"chr15",44710478,44710978
"chr22",39119101,39119601
"chr11",126354255,126354755
"chr16",1935336,1935836
"chr16",57450088,57450588
"chr1",209677040,209677540
"chr19",3933710,3934210
"chr4",57030529,57031029
"chr12",91100402,91100902
"chr10",97497675,97498175
"chr3",195568648,195569148
"chr5",81234883,81235383
"chr19",36150133,36150633
"chr2",20033365,20033865
"chr19",10567113,10567613
"chr3",156038304,156038804
"chr13",23182340,23182840
"chr16",57447510,57448010
"chr6",99370478,99370978
"chr16",31424766,31425266
"chr22",43151878,43152378
"chr15",44710745,44711245
"chr1",50959949,50960449
"chr1",12568895,12569395
"chr1",182377861,182378361
"chr5",145939297,145939797
"chr19",3931907,3932407
"chr1",17019481,17019981
"chr1",74234788,74235288
"chr1",153533700,153534200
"chr14",102501487,102501987
"chr11",108118022,108118522
"chr4",173523821,173524321
"chr8",143552086,143552586
"chr8",143974901,143975401
"chr2",119365746,119366246
"chr1",205506794,205507294
"chr8",19903190,19903690
"chr14",102501048,102501548
"chr2",191833897,191834397
"chr9",68703911,68704411
"chr3",126340811,126341311
"chr14",102500867,102501367
"chr15",65077178,65077678
"chr4",57030824,57031324
"chr14",60142107,60142607
"chr10",113587805,113588305
"chr15",42410272,42410772
"chr1",26049158,26049658
"chr10",124618993,124619493
"chr1",54025821,54026321
"chr5",112876564,112877064
"chr1",9998503,9999003
"chr1",165476021,165476521
"chr17",75635632,75636132
"chr19",36149867,36150367
"chr5",112874133,112874633
"chr14",100725408,100725908
"chr22",35647550,35648050
"chr10",22318823,22319323
"chr8",143555634,143556134
"chr5",193279,193779
"chr5",192426,192926
"chr11",67417791,67418291
"chr1",165478271,165478771
"chr14",33925579,33926079
"chr5",145938140,145938640
"chr6",118548963,118549463
"chr13",23183017,23183517
"chr7",31752066,31752566
"chr20",605676,606176
"chr3",156039852,156040352
"chr10",97497971,97498471
"chr9",12776149,12776649
"chr16",75110584,75111084
"chr1",12567081,12567581
"chr3",155820729,155821229
"chr22",35648260,35648760
"chr1",153534062,153534562
"chr9",15164746,15165246
"chr2",101253717,101254217
"chr4",57028253,57028753
"chr7",33110799,33111299
"chr1",153535152,153535652
"chr8",19902423,19902923
"chr1",50962153,50962653
"chr12",91101420,91101920
"chr2",18554565,18555065
"chr11",62687754,62688254
"chr10",96362527,96363027
"chr5",95748604,95749104
"chr22",39120684,39121184
"chr4",185398477,185398977
"chr14",100728493,100728993
"chr6",78866326,78866826
"chr13",73057972,73058472
"chr3",149319782,149320282
"chr19",2715397,2715897
"chr19",8322876,8323376
"chr11",108116471,108116971
"chr11",33703997,33704497
"chr6",166365870,166366370
"chr9",68704636,68705136
"chr19",15114415,15114915
"chrX",103628253,103628753
"chr16",75111999,75112499
"chr7",120786230,120786730
"chr18",34495420,34495920
"chr1",12565380,12565880
"chr2",105357048,105357548
"chr1",56648244,56648744
"chr18",34492069,34492569
"chr19",15112956,15113456
"chr19",10567402,10567902
"chr2",101252816,101253316
"chr13",113178597,113179097
"chr19",2714181,2714681
"chr1",50962706,50963206
"chr5",81232429,81232929
"chr1",150260248,150260748
"chr7",23236616,23237116
"chr9",15164683,15165183
"chr9",15161210,15161710
"chr11",62685613,62686113
"chr9",68706957,68707457
"chr3",149316986,149317486
"chr2",119369087,119369587
"chr8",143977273,143977773
"chr12",56265938,56266438
"chr19",15116025,15116525
"chr4",8270913,8271413
"chr5",143279256,143279756
"chr10",97499630,97500130
"chr15",65078358,65078858
"chr4",57031317,57031817
"chr3",42691227,42691727
"chr9",12774473,12774973
"chr6",162729583,162730083
"chr7",31749130,31749630
"chr22",43151173,43151673
"chr12",9067559,9068059
"chr1",50961799,50962299
"chr10",23441522,23442022
"chr13",27437023,27437523
"chr11",19181319,19181819
"chr1",226940716,226941216
"chr6",168441668,168442168
"chr4",185395334,185395834
"chr14",100728007,100728507
"chr3",126343067,126343567
"chr4",173528064,173528564
"chr15",88900149,88900649
"chrX",79360195,79360695
"chr2",126658493,126658993
"chr1",9998121,9998621
"chr15",65052665,65053165
"chr16",31428646,31429146
"chr7",23237855,23238355
"chr3",8735721,8736221
"chr8",18055869,18056369
"chr11",112087592,112088092
"chrX",79360795,79361295
"chr2",63589072,63589572
"chr8",40156162,40156662
"chr1",150259913,150260413
"chr4",83259870,83260370
"chr7",80368246,80368746
"chr12",26121778,26122278
"chrX",79357406,79357906
"chr8",142770406,142770906
"chr12",56268446,56268946
"chr22",41230402,41230902
"chr8",143974587,143975087
"chr1",17016360,17016860
"chr4",173524343,173524843
"chr19",2715172,2715672
"chr7",120787755,120788255
"chr13",23183732,23184232
"chr12",91100819,91101319
"chr6",5998058,5998558
"chr3",127688171,127688671
"chr17",39627129,39627629
"chr2",191834136,191834636
"chr2",18552436,18552936
"chr21",25642038,25642538
"chr15",65051183,65051683
"chr1",74237478,74237978
"chr7",23238313,23238813
"chr1",54024133,54024633
"chr7",49775308,49775808
"chr10",124617545,124618045
"chr17",44959632,44960132
"chr13",27435317,27435817
"chr14",102501275,102501775
"chr12",56267180,56267680
"chr14",60143243,60143743
"chr15",70828378,70828878
"chr12",102010049,102010549
"chr2",178525207,178525707
"chr6",81490502,81491002
"chr1",12565403,12565903
"chr15",70653236,70653736
"chr11",63997329,63997829
"chr7",33111491,33111991
"chr5",143276452,143276952
"chr6",112090100,112090600
"chr3",127686979,127687479
"chr1",165634034,165634534
"chr6",81492092,81492592
"chr9",4678757,4679257
"chr3",8734031,8734531
"chr3",149318233,149318733
"chr3",156037014,156037514
"chr15",57593448,57593948
"chr7",113116650,113117150
"chr15",88895930,88896430
"chr6",112090013,112090513
"chr17",75634720,75635220
"chr15",70826768,70827268
"chr16",1937158,1937658
"chr2",105357728,105358228
"chr12",117037420,117037920
"chr15",44712974,44713474
"chr2",37641045,37641545
"chr6",166366333,166366833
"chr13",23180100,23180600
"chr16",57447225,57447725
"chr16",75112135,75112635
"chr5",145936519,145937019
"chr2",101255371,101255871
"chr1",50960008,50960508
"chr4",57032233,57032733
"chr2",178526991,178527491
"chr1",56645364,56645864
"chr7",123569397,123569897
"chr7",123566295,123566795
"chr3",126343257,126343757
"chr5",16472760,16473260
"chr1",165632355,165632855
"chr13",41458915,41459415
"chr14",33921992,33922492
"chr2",219418899,219419399
"chr14",102499602,102500102
"chr9",15161342,15161842
"chr5",145936681,145937181
"chr6",5088205,5088705
"chr12",26123022,26123522
"chr8",142770131,142770631
"chr6",143061589,143062089
"chr22",35649563,35650063
"chr19",15113998,15114498
"chr22",35608236,35608736
"chr22",41230945,41231445
"chr1",50959866,50960366
"chr15",43867957,43868457
"chr8",141392116,141392616
"chr18",34495443,34495943
"chr1",226939408,226939908
"chr20",601477,601977
"chr14",102503107,102503607
"chr19",36149143,36149643
"chr11",47178390,47178890
"chr7",31749405,31749905
"chr4",8270795,8271295
"chr19",8323680,8324180
"chr3",195566570,195567070
"chr14",60144588,60145088
"chr1",167918144,167918644
"chr15",88899367,88899867
"chr10",73423950,73424450
"chr2",191833018,191833518
"chr20",603367,603867
"chr8",90793264,90793764
"chr12",56265871,56266371
"chr9",15163465,15163965
"chr1",205507560,205508060
"chr8",142772584,142773084
"chr2",191832329,191832829
"chr4",140385478,140385978
"chr2",191832495,191832995
"chr8",143556117,143556617
"chr18",34492729,34493229
"chr5",81235099,81235599
"chr2",237861451,237861951
"chr3",155819546,155820046
"chrX",77901562,77902062
"chr7",80370809,80371309
"chr22",43151188,43151688
"chr13",23182469,23182969
"chr8",47737988,47738488
"chr7",113114891,113115391
"chr6",166363883,166364383
"chr1",26048343,26048843
"chr3",46514031,46514531
"chr9",12774143,12774643
"chr2",237858155,237858655
"chr6",5996535,5997035
"chr5",95751477,95751977
"chr6",143059374,143059874
"chr12",26122497,26122997
"chr9",15161586,15162086
"chr6",166364559,166365059
"chr6",99368737,99369237
"chr2",101251865,101252365
"chr10",124616368,124616868
"chr8",19900709,19901209
"chr16",31426519,31427019
"chr7",23237935,23238435
"chr3",195569034,195569534
"chr3",126343171,126343671
"chr1",38835704,38836204
"chr15",65053147,65053647
"chr2",237861400,237861900
"chr19",10564808,10565308
"chr3",173395390,173395890
"chr10",113589551,113590051
"chr6",118547788,118548288
"chr10",96364010,96364510
"chr15",70655787,70656287
"chr14",104578474,104578974
"chr11",112086591,112087091
"chr8",47737000,47737500
"chr11",19180729,19181229
"chr3",173398218,173398718
"chr8",18054445,18054945
"chrX",154672480,154672980
"chr2",69396676,69397176
"chr9",131289686,131290186
"chr12",7080992,7081492
"chr1",182377893,182378393
"chr10",113588680,113589180
"chr13",73055433,73055933
"chr10",22317229,22317729
"chr7",123569212,123569712
"chr7",80370859,80371359
"chr3",192139024,192139524
"chr10",23440179,23440679
"chr22",39117230,39117730
"chr8",143974415,143974915
"chr8",142770554,142771054
"chr1",54026776,54027276
"chr2",30348765,30349265
"chr12",21766270,21766770
"chr15",70655598,70656098
"chr9",15163515,15164015
"chr4",57029931,57030431
"chr9",5358373,5358873
"chr1",209674682,209675182
"chr15",42411343,42411843
"chr9",121206437,121206937
"chr10",96363613,96364113
"chr4",8271287,8271787
"chr1",165476544,165477044
"chr6",5087079,5087579
"chr3",46515753,46516253
"chr7",23234498,23234998
"chr2",69395895,69396395
"chr12",56267328,56267828
"chr20",25005232,25005732
"chr6",118548075,118548575
"chr15",70652859,70653359
"chr20",25005002,25005502
"chr11",126355709,126356209
"chrX",154673873,154674373
"chr9",121208045,121208545
"chr19",10563620,10564120
"chr8",143555154,143555654
"chr16",31424821,31425321
"chr3",127914950,127915450
"chr12",21765068,21765568
"chr9",131290128,131290628
"chr2",181954711,181955211
"chr5",95751138,95751638
"chr4",185396987,185397487
"chr10",73421150,73421650
"chr5",112877135,112877635
"chr2",20029716,20030216
"chr7",113116255,113116755
"chr19",10567874,10568374
"chr11",118163386,118163886
"chr4",173522188,173522688
"chr14",60143734,60144234
"chr5",191839,192339
"chr3",127916528,127917028
"chr7",113114587,113115087
"chr1",150258576,150259076
"chr2",178525792,178526292
"chr2",20032891,20033391
"chr22",35649869,35650369
"chr14",33924249,33924749
"chr12",21763005,21763505
"chr7",30914826,30915326
"chr1",226938790,226939290
"chr12",21765740,21766240
"chr19",15112467,15112967
"chr2",46541532,46542032
"chr19",8319918,8320418
"chr22",35605650,35606150
"chr12",26123348,26123848
"chr11",47175382,47175882
"chr13",23183333,23183833
"chr7",30911096,30911596
"chr8",143553611,143554111
"chr8",19901959,19902459
"chr2",69396687,69397187
"chr5",16472586,16473086
"chr12",91100142,91100642
"chr7",120786441,120786941
"chr15",44711739,44712239
"chr7",80368131,80368631
"chr2",101254146,101254646
"chr3",127914351,127914851
"chr22",35606172,35606672
"chr7",116527136,116527636
"chr18",34496116,34496616
"chr3",42693906,42694406
"chr7",31749896,31750396
"chr12",95658074,95658574
"chr19",2712121,2712621
"chr2",237860843,237861343
"chr6",5999213,5999713
"chr2",219418985,219419485
"chr9",12773581,12774081
"chr4",173522837,173523337
"chr17",43018371,43018532
"chr9",96217419,96217645
"chr4",159426188,159426246
"chrX",47556169,47556391
"chr17",2240251,2240330
"chr3",48656494,48656638
"chr9",14056296,14056366
"chr19",1026235,1026317
"chr17",76383453,76383535
"chr15",75827863,75827960
"chr7",151692777,151693246
"chr18",31065457,31065676
"chr14",87992833,87992931
"chr5",157384978,157385296
"chr1",206203922,206204051
"chr10",80664191,80664330
"chr12",47209068,47209159
"chr21",28079249,28079375
"chr3",141913349,141913430
"chr6",132799089,132799221
"chr10",30638182,30638396
"chr6",55260248,55260397
"chr9",128393184,128393272
"chr6",86425012,86425083
"chr3",180989602,180989957
"chr6",11329023,11329158
"chr12",72471996,72472101
"chr4",101730567,101730763
"chr14",105490643,105491343
"chr21",8231725,8231804
"chr2",65164457,65164555
"chr5",124663112,124663377
"chr8",117888833,117888891
"chr7",151028116,151028469
"chr13",112658953,112659082
"chr4",38489577,38489815
"chr9",94726511,94726759
"chr1",153783396,153783542
"chr9",371465,371669
"chr19",51064863,51065250
"chr4",177375309,177375386
"chr6",111478206,111478296
"chr9",138038221,138038494
"chr4",21013128,21013383
"chr11",83015115,83015179
"chr2",23663358,23663485
"chr14",20343096,20343726
"chr8",138673107,138673166
"chr10",31582877,31582978
"chr10",110207447,110207659
"chr1",55303033,55303191
"chr17",81941826,81942010
"chr13",110914981,110915555
"chr2",55088026,55088248
"chr11",119779866,119780066
"chr1",24096447,24096669
"chr7",220615,220784
"chr2",241227431,241227583
"chr11",65833804,65834019
"chr2",69464650,69464881
"chr2",99141098,99141458
"chr3",151787785,151787981
"chr12",108689466,108689587
"chr13",99744854,99745083
"chr12",75585470,75585593
"chr8",119917505,119917620
"chr10",86900974,86901332
"chr13",36766398,36766475
"chr6",3324476,3324744
"chr15",20978213,20978284
"chr15",96428760,96429044
"chr1",98380514,98380637
"chr10",43265967,43266099
"chr8",138425726,138425812
"chr11",10618122,10618193
"chr22",38218642,38218889
"chrX",8037050,8037209
"chr12",109200245,109200339
"chr2",112254995,112255221
"chrX",40435065,40435197
"chr14",99950288,99950459
"chr2",62197769,62197880
"chr1",210938015,210938106
"chr2",99141514,99141639
"chr11",128576082,128576141
"chr6",25172969,25173099
"chr18",49898594,49898696
"chr1",161258844,161258929
"chr10",29725128,29725699
"chr6",168099238,168099424
"chr9",110476946,110477031
"chr2",211725111,211725174
"chrX",37684578,37684697
"chr10",58651165,58651224
"chr17",81566485,81567029
"chr20",56712214,56712471
"chr6",41532031,41532095
"chr3",45381618,45381688
"chr19",6812025,6812097
"chr2",215022553,215022742
"chr20",32470127,32470287
"chr13",113897481,113897543
"chr9",104968512,104968636
"chr18",4015084,4015242
"chr5",95646636,95646966
"chr2",13704335,13704395
"chr12",124862831,124862898
"chr1",178341289,178341570
"chr3",39107541,39107948
"chrX",129144270,129144577
"chr9",129225875,129226154
"chr16",2925452,2925562
"chr19",7799661,7799816
"chr21",8402124,8402378
"chr14",68232655,68232941
"chr11",76847408,76847643
"chr22",36010990,36011165
"chr2",1685944,1686138
"chr6",107103334,107103391
"chr2",210955743,210955864
"chr1",111434046,111434161
"chr2",225270925,225271093
"chr21",36420048,36420232
"chr18",55096443,55096571
"chr1",143936597,143936660
"chr6",157515124,157515331
"chrY",3782572,3782927
"chr20",59940234,59940463
"chr15",21749203,21749495
"chr4",25088417,25088639
"chr5",172188279,172188556
"chr3",120094431,120095284
"chr4",61541022,61541128
"chr16",46607687,46607749
"chr1",145169263,145169324
"chr7",55106065,55106249
"chr11",65900382,65900701
"chr2",217510827,217510985
"chr5",175729240,175729364
"chr13",44758933,44759057
"chr1",23791882,23791984
"chr19",50508587,50508667
"chr15",70788581,70788693
"chr9",128177268,128177326
"chr17",51057145,51057476
"chr17",82795159,82795232
"chr5",123285156,123285271
"chr17",60442396,60442557
"chrX",71095735,71095893
"chr6",72644326,72644413
"chr12",2333163,2333229
"chr19",33904839,33905011
"chr5",1207663,1207804
"chr7",26648832,26648925
"chr2",108678444,108678525
