tRNA	1_DEL13080_R1_17to51__tRNA.txt	2_DEL13080_R1_17to51__tRNA.txt	3_DEL13080_R1_17to51__tRNA.txt	4_DEL13080_R1_17to51__tRNA.txt	5_DEL13080_R1_17to51__tRNA.txt	6_DEL13080_R1_17to51__tRNA.txt	7_DEL13080_R1_17to51__tRNA.txt	8_DEL13080_R1_17to51__tRNA.txt	9_DEL13080_R1_17to51__tRNA.txt	10_DEL13080_R1_17to51__tRNA.txt	11_DEL13080_R1_17to51__tRNA.txt	12_DEL13080_R1_17to51__tRNA.txt	13_DEL13080_R1_17to51__tRNA.txt	14_DEL13080_R1_17to51__tRNA.txt	15_DEL13080_R1_17to51__tRNA.txt	16_DEL13080_R1_17to51__tRNA.txt	17_DEL13080_R1_17to51__tRNA.txt	18_DEL13080_R1_17to51__tRNA.txt	19_DEL13080_R1_17to51__tRNA.txt	20_DEL13080_R1_17to51__tRNA.txt	21_DEL13080_R1_17to51__tRNA.txt	22_DEL13080_R1_17to51__tRNA.txt	23_DEL13080_R1_17to51__tRNA.txt	24_DEL13080_R1_17to51__tRNA.txt	25_DEL13080_R1_17to51__tRNA.txt	26_DEL13080_R1_17to51__tRNA.txt	27_DEL13080_R1_17to51__tRNA.txt	28_DEL13080_R1_17to51__tRNA.txt	29_DEL13080_R1_17to51__tRNA.txt	30_DEL13080_R1_17to51__tRNA.txt	31_DEL13080_R1_17to51__tRNA.txt	32_DEL13080_R1_17to51__tRNA.txt	33_DEL13080_R1_17to51__tRNA.txt	34_DEL13080_R1_17to51__tRNA.txt	35_DEL13080_R1_17to51__tRNA.txt	36_DEL13080_R1_17to51__tRNA.txt	37_DEL13080_R1_17to51__tRNA.txt	38_DEL13080_R1_17to51__tRNA.txt	39_DEL13080_R1_17to51__tRNA.txt	40_DEL13080_R1_17to51__tRNA.txt	
chr12.trna11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr6.trna139	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
chr6.trna138	1.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	
chr6.trna144	8.0	1.0	2.0	7.0	3.0	4.0	3.0	17.0	0.0	5.0	10.0	2.0	7.0	6.0	12.0	4.0	2.0	8.0	3.0	12.0	1.0	8.0	6.0	9.0	4.0	10.0	9.0	4.0	1.0	5.0	4.0	3.0	1.0	10.0	4.0	15.0	4.0	3.0	3.0	7.0	
chr6.trna143	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
chr6.trna142	2.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0	
chr6.trna141	3.0	1.0	5.0	1.0	3.0	2.0	6.0	0.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	6.0	2.0	3.0	1.0	1.0	5.0	1.0	5.0	3.0	0.0	0.0	1.0	0.0	0.0	7.0	4.0	3.0	3.0	5.0	11.0	5.0	2.0	
chr6.trna148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna147	2.0	0.0	3.0	1.0	2.0	0.0	2.0	3.0	3.0	1.0	6.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	2.0	1.0	3.0	3.0	5.0	1.0	3.0	8.0	5.0	1.0	
chr6.trna146	1.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	
chr6.trna145	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	
chr6.trna140	2.0	4.0	1.0	1.0	5.0	3.0	5.0	2.0	0.0	7.0	24.0	1.0	2.0	1.0	2.0	19.0	3.0	4.0	12.0	2.0	9.0	9.0	8.0	7.0	1.0	7.0	2.0	6.0	1.0	4.0	3.0	7.0	5.0	3.0	4.0	2.0	9.0	4.0	21.0	11.0	
chr14.trna24	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr14.trna23	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna149	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	
chr6.trna155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
chr6.trna154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
chr6.trna153	288.0	252.0	1574.0	648.0	360.0	339.0	161.0	120.0	196.0	181.0	2450.0	368.0	251.0	719.0	111.0	1226.0	1334.0	514.0	2270.0	396.0	599.0	300.0	962.0	556.0	429.0	129.0	689.0	1728.0	39.0	211.0	413.0	420.0	721.0	680.0	1890.0	466.0	1531.0	1291.0	3881.0	497.0	
chr6.trna152	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	
chr19.trna1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
chr6.trna159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna158	2.0	5.0	13.0	10.0	2.0	13.0	9.0	6.0	3.0	1.0	13.0	10.0	5.0	15.0	2.0	7.0	6.0	8.0	6.0	6.0	4.0	4.0	3.0	10.0	13.0	8.0	15.0	9.0	2.0	2.0	8.0	8.0	2.0	13.0	13.0	11.0	10.0	14.0	14.0	3.0	
chr6.trna157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
chr6.trna156	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	2.0	0.0	
chr19.trna6	15.0	2.0	4.0	17.0	8.0	2.0	10.0	5.0	0.0	0.0	6.0	3.0	21.0	2.0	14.0	2.0	13.0	21.0	3.0	32.0	2.0	6.0	0.0	27.0	3.0	19.0	14.0	3.0	1.0	2.0	5.0	1.0	0.0	28.0	10.0	30.0	1.0	3.0	1.0	1.0	
chr19.trna7	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr19.trna8	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
chr19.trna9	450.0	158.0	379.0	936.0	310.0	489.0	339.0	1698.0	65.0	198.0	304.0	838.0	516.0	856.0	156.0	584.0	329.0	507.0	277.0	367.0	252.0	376.0	108.0	784.0	438.0	300.0	498.0	146.0	124.0	758.0	501.0	217.0	132.0	817.0	592.0	441.0	365.0	200.0	237.0	125.0	
chr14.trna20	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	4.0	1.0	2.0	0.0	0.0	0.0	
chr19.trna2	84.0	24.0	81.0	80.0	97.0	107.0	117.0	24.0	115.0	32.0	148.0	62.0	117.0	127.0	18.0	121.0	99.0	81.0	176.0	78.0	77.0	124.0	155.0	91.0	125.0	138.0	158.0	134.0	137.0	102.0	152.0	201.0	235.0	122.0	215.0	49.0	266.0	93.0	177.0	33.0	
chr6.trna151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
chr6.trna150	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	3.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	
chr14.trna22	10.0	2.0	4.0	14.0	5.0	2.0	6.0	8.0	0.0	1.0	2.0	0.0	3.0	6.0	3.0	5.0	2.0	4.0	1.0	7.0	2.0	1.0	0.0	9.0	2.0	8.0	19.0	4.0	1.0	1.0	3.0	2.0	2.0	12.0	5.0	17.0	2.0	5.0	2.0	0.0	
chr14.trna21	4.0	0.0	3.0	2.0	7.0	1.0	29.0	37.0	2.0	5.0	3.0	7.0	25.0	5.0	4.0	1.0	5.0	5.0	1.0	13.0	0.0	16.0	5.0	8.0	4.0	25.0	15.0	10.0	9.0	3.0	22.0	10.0	10.0	18.0	20.0	1.0	13.0	4.0	4.0	1.0	
chr14.trna13	0.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	
chr14.trna15	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr14.trna14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr14.trna17	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	
chr14.trna16	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr14.trna19	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
chr14.trna18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr14.trna11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr14.trna10	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna129	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr6.trna128	0.0	1.0	2.0	0.0	2.0	1.0	2.0	2.0	3.0	3.0	7.0	1.0	2.0	0.0	0.0	4.0	1.0	1.0	4.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	2.0	5.0	1.0	0.0	1.0	1.0	4.0	0.0	2.0	0.0	2.0	1.0	5.0	2.0	
chr6.trna127	16.0	12.0	14.0	50.0	10.0	50.0	6.0	15.0	8.0	13.0	13.0	25.0	15.0	33.0	1.0	4.0	13.0	22.0	3.0	9.0	5.0	7.0	14.0	25.0	14.0	15.0	19.0	7.0	21.0	24.0	18.0	10.0	4.0	21.0	12.0	11.0	18.0	22.0	4.0	8.0	
chr6.trna133	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
chr6.trna132	0.0	0.0	2.0	0.0	5.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	4.0	2.0	2.0	5.0	0.0	2.0	3.0	1.0	0.0	1.0	3.0	2.0	2.0	3.0	2.0	4.0	1.0	3.0	0.0	
chr6.trna131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr6.trna130	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chr6.trna137	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
chr6.trna136	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
chr6.trna135	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	1.0	1.0	2.0	4.0	0.0	1.0	
chr6.trna134	3.0	6.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	4.0	0.0	0.0	1.0	1.0	2.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.0	3.0	3.0	0.0	0.0	
chrX.trna1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chrX.trna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
chrX.trna2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
chr6.trna163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna167	4.0	11.0	19.0	26.0	5.0	53.0	1.0	5.0	5.0	9.0	19.0	11.0	6.0	42.0	3.0	4.0	14.0	16.0	18.0	8.0	5.0	4.0	7.0	14.0	8.0	1.0	21.0	18.0	0.0	4.0	13.0	0.0	9.0	13.0	21.0	3.0	22.0	16.0	17.0	14.0	
chr6.trna162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna176	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr6.trna173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr1.trna16	2.0	2.0	3.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	7.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	
chr17.trna37	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	
chr17.trna38	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	
chr1.trna18	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
chr17.trna39	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	2.0	1.0	1.0	1.0	
chr1.trna19	0.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	3.0	3.0	1.0	1.0	3.0	0.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	
chr5.trna24	7.0	8.0	13.0	11.0	8.0	9.0	48.0	18.0	3.0	15.0	23.0	5.0	19.0	25.0	13.0	13.0	19.0	14.0	6.0	10.0	7.0	22.0	7.0	23.0	23.0	58.0	23.0	8.0	5.0	9.0	15.0	7.0	7.0	10.0	16.0	3.0	15.0	5.0	18.0	6.0	
chr5.trna25	6.0	2.0	1.0	6.0	4.0	0.0	1.0	3.0	0.0	1.0	7.0	2.0	2.0	2.0	2.0	4.0	3.0	5.0	2.0	7.0	7.0	4.0	0.0	7.0	4.0	6.0	7.0	1.0	1.0	5.0	1.0	0.0	2.0	5.0	1.0	6.0	0.0	3.0	3.0	2.0	
chr1.trna23	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	
